id	level	source	meta	ukrainian	status	notes
ox5000-add-0145	C1	auto	n. C1	автомобіль	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0146	B2	automatic	adj. B2	автоматичний	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0147	B2	automatically	adv. B2	автоматично	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0148	C1	autonomy	n. C1	автономія; самостійність	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0149	C1	availability	n. C1	наявність; доступність	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0150	C1	await	v. C1	чекати на	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0151	B2	awareness	n. B2	обізнаність; усвідомлення	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0152	B2	awkward	adj. B2	незручний; ніяковий; незграбний	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0153	C1	backdrop	n. C1	тло; фон	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0154	C1	backing	n. C1	підтримка; фінансова підтримка	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0155	C1	backup	n. C1	резервна копія; резерв; підтримка	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0156	B2	badge	n. B2	значок; бейдж	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0157	C1	bail	n. C1	застава; звільнення під заставу	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0158	B2	balanced	adj. B2	збалансований	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0159	B2	ballet	n. B2	балет	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0160	B2	balloon	n. B2	повітряна кулька; повітряна куля	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0161	C1	ballot	n. C1	виборчий бюлетень; голосування	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0162	C1	banner	n. C1	банер; прапор; транспарант	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0163	C1	bare	adj. C1	голий; оголений; порожній; мінімальний	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0164	B2	barely	adv. B2	ледве; ледь	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0165	B2	bargain	n. B2	вигідна покупка; угода	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0166	C1	barrel	n. C1	бочка; ствол	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0167	B2	basement	n. B2	підвал; цокольний поверх	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0168	C1	bass1	n. C1	бас; низький музичний звук або голос	needs_second_pass	Sense-numbered official source row; preserve distinction during dictionary second pass.
ox5000-add-0169	B2	basket	n. B2	кошик	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0170	B2	bat	n. B2	кажан; бита	needs_second_pass	Polysemous noun; dictionary second pass must confirm intended Oxford 5000 coverage.
ox5000-add-0171	C1	bat	v. C1	бити битою	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0172	C1	battlefield	n. C1	поле бою	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0173	C1	bay	n. C1	затока	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0174	C1	beam	n. C1	промінь; балка	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0175	C1	beast	n. C1	звір; тварина	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0176	C1	behalf	n. C1	інтереси; від імені	needs_second_pass	Typically occurs in fixed expressions such as “on behalf of”; dictionary second pass required.
ox5000-add-0177	C1	beloved	adj. C1	коханий; улюблений	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0178	C1	bench	n. C1	лава; суддівська лава	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0179	B2	beneficial	adj. B2	корисний; сприятливий	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0180	C1	beneficiary	n. C1	бенефіціар; одержувач вигоди	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0181	C1	benchmark	n. C1	еталон; орієнтир	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0182	C1	beneath	prep. C1	під; нижче	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0183	B2	beside	prep. B2	поруч із; біля	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0184	B2	besides	prep., adv. B2	крім; до того ж	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0185	C1	betray	v. C1	зраджувати; видавати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0186	B2	bias	n. B2	упередженість; схильність	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0187	B2	bid	n., v. B2	пропозиція ціни; заявка; робити ставку; пропонувати ціну	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0188	C1	bind	v. C1	зв’язувати; скріплювати; зобов’язувати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0189	B2	biological	adj. B2	біологічний	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0190	C1	biography	n. C1	біографія	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0191	C1	bishop	n. C1	єпископ; слон у шахах	needs_second_pass	Polysemous noun; dictionary second pass required.
ox5000-add-0192	C1	bizarre	adj. C1	химерний; дуже дивний	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0193	C1	blade	n. C1	лезо; лопать	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0194	B2	blanket	n. B2	ковдра	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0195	C1	blast	n., v. C1	вибух; сильний потік; вибухати; підривати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0196	C1	bleed	v. C1	кровоточити; стікати кров’ю	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0197	C1	blend	v., n. C1	змішувати; змішуватися; суміш	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0198	C1	bless	v. C1	благословляти	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0199	C1	blessing	n. C1	благословення; благо	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0200	B2	blow	n. B2	удар; подув; сильний удар або невдача	needs_second_pass	Polysemous noun; dictionary second pass required.
